Board,InputChannel,SoftwareChannel,ChannelType,ChannelName,NumDevicesInChannel,IsAmplified,IsDead,ChannelPosX,ChannelPosY,ChargeMCChannelMap,,Saturating?,Baseline
0,0,0,SiPM,1-1,1,FALSE,FALSE,-1000,-1000,None,,no,
0,2,2,SiPM,1-3,1,FALSE,FALSE,-1000,-1000,None,,no,
0,3,3,SiPM,1-4,1,FALSE,FALSE,-1000,-1000,None,,no,
0,4,4,SiPM,2-1,1,FALSE,FALSE,-1000,-1000,None,,no,35900
0,5,5,SiPM,2-2,1,FALSE,FALSE,-1000,-1000,None,,no,
0,6,6,SiPM,2-3,1,FALSE,FALSE,-1000,-1000,None,,no,35800
0,8,8,SiPM,2-5,1,FALSE,FALSE,-1000,-1000,None,,no,
0,9,9,SiPM,2-6,1,FALSE,FALSE,-1000,-1000,None,,no,
0,10,10,Trigger,Trigger,1,FALSE,FALSE,-1000,-1000,None,,no,
1,0,16,TileStrip,Y1-10,10,TRUE,FALSE,0,-28.5,"33,34,35,36,37,38,39,40,41,42",,no,
1,1,17,TileStrip,Y11,1,TRUE,FALSE,0,-13.5,43,,no,
1,2,18,TileStrip,Y12,1,TRUE,FALSE,0,-10.5,44,,no,
1,3,19,TileStrip,Y13,1,TRUE,FALSE,0,-7.5,45,,no,32300
1,4,20,TileStrip,Y14,1,TRUE,FALSE,0,-4.5,46,,no,
1,5,21,TileStrip,Y15,1,TRUE,FALSE,0,-1.5,47,,no,15700
1,6,22,TileStrip,Y16,1,TRUE,FALSE,0,1.5,48,,no,22500
1,7,23,TileStrip,Y17,1,TRUE,FALSE,0,4.5,49,,no,18200
1,8,24,TileStrip,Y18,1,TRUE,FALSE,0,7.5,50,,no,
1,9,25,TileStrip,Y19,1,TRUE,FALSE,0,10.5,51,,no,
1,10,26,TileStrip,Y20,1,TRUE,FALSE,0,13.5,52,,no,
1,11,27,TileStrip,Y21/22,2,TRUE,FALSE,0,18,"53,54",,no,
1,12,28,TileStrip,Y23/24,2,TRUE,FALSE,0,24,"55,56",,no,
1,14,30,TileStrip,Y27/28,2,TRUE,FALSE,0,36,"59,60",,no,31900
1,15,31,TileStrip,Y29/30,2,TRUE,FALSE,0,42,"61,62",,no,
2,0,32,TileStrip,X1-12,12,TRUE,FALSE,-28.5,0,"1,2,3,4,5,6,7,8,9,10,11,12",,no,
2,1,33,TileStrip,X13,1,TRUE,FALSE,-13.5,0,13,,no,32000
2,2,34,TileStrip,X14,1,TRUE,FALSE,-10.5,0,14,,no,
2,3,35,TileStrip,X15,1,TRUE,FALSE,-7.5,0,15,,no,
2,4,36,TileStrip,X16,1,TRUE,FALSE,-4.5,0,16,,no,26550
2,5,37,TileStrip,X17,1,TRUE,FALSE,-1.5,0,17,,no,18550
2,6,38,TileStrip,X18,1,TRUE,FALSE,1.5,0,18,,no,19350
2,7,39,TileStrip,X19,1,FALSE,FALSE,4.5,0,19,,no,64900
2,8,40,TileStrip,X20,1,TRUE,FALSE,7.5,0,20,,no,31700
2,9,41,TileStrip,X21,1,TRUE,FALSE,10.5,0,21,,no,31700
2,10,42,TileStrip,X22,1,TRUE,FALSE,13.5,0,22,,no,
2,11,43,TileStrip,X23/24,2,TRUE,FALSE,18,0,"23,24",,no,
2,12,44,TileStrip,X25/26,2,TRUE,FALSE,24,0,"25,26",,no,32500
2,13,45,TileStrip,X27/28,2,TRUE,FALSE,30,0,"27,28",,no,31450
2,14,46,TileStrip,X29/30,2,TRUE,FALSE,36,0,"29,30",,no,
